time,06-navstatus [adim],05-course [deg],04-speed [knots],03-mslhr [m],02-ellihr [m],01-lonhr [deg],00-lathr [deg]
2025-09-23 23:47:24.000,1.0,106.049,1.791,-55.1596,1621380377812.7114,-5.515961182,35.880446447
2025-09-23 23:47:24.500,1.0,106.205,1.784,-55.1596,1492746274900.903,-5.515956272,35.880445303
2025-09-23 23:47:25.000,1.0,106.357,1.777,-55.1595,1370802124414.4998,-5.515951385,35.880444152
2025-09-23 23:47:25.500,1.0,106.507,1.77,-55.1595,1255642772799.7183,-5.515946519,35.880442995
2025-09-23 23:47:26.000,1.0,106.653,1.764,-55.1594,1147352645442.2769,-5.515941676,35.880441832
2025-09-23 23:47:26.500,1.0,106.795,1.758,-55.1594,1046006619646.1833,-5.515936853,35.880440663
2025-09-23 23:47:27.000,1.0,106.934,1.751,-55.1593,951670845556.6814,-5.515932051,35.880439488
2025-09-23 23:47:27.500,1.0,107.069,1.745,-55.1593,864403514456.4196,-5.515927268,35.880438309
2025-09-23 23:47:28.000,1.0,107.2,1.74,-55.1592,784255573930.289,-5.515922506,35.880437124
2025-09-23 23:47:28.500,1.0,107.327,1.734,-55.1592,711271389454.9254,-5.515917762,35.880435934
2025-09-23 23:47:29.000,1.0,107.45,1.728,-55.1591,645489352024.0177,-5.515913037,35.88043474
2025-09-23 23:47:29.500,1.0,107.568,1.723,-55.1591,586942431470.672,-5.515908329,35.880433541
2025-09-23 23:47:30.000,1.0,107.683,1.718,-55.159,535658675193.6041,-5.515903639,35.880432338
2025-09-23 23:47:30.500,1.0,107.792,1.713,-55.159,491661652035.2428,-5.515898966,35.88043113
2025-09-23 23:47:31.000,1.0,107.898,1.708,-55.1589,454970841097.3683,-5.51589431,35.88042992
2025-09-23 23:47:31.500,1.0,107.999,1.703,-55.1589,425601965314.0782,-5.51588967,35.880428705
2025-09-23 23:47:32.000,1.0,108.095,1.698,-55.1589,403567269633.0996,-5.515885045,35.880427488
2025-09-23 23:47:32.500,1.0,108.187,1.693,-55.1588,388875743685.159,-5.515880435,35.880426268
2025-09-23 23:47:33.000,1.0,108.275,1.689,-55.1588,381533288847.7078,-5.51587584,35.880425044
2025-09-23 23:47:33.500,1.0,108.358,1.684,-55.1587,381542829634.196,-5.515871259,35.880423819
2025-09-23 23:47:34.000,1.0,108.437,1.68,-55.1587,388904369363.7227,-5.515866693,35.880422591
2025-09-23 23:47:34.500,1.0,108.512,1.676,-55.1586,403614990088.672,-5.51586214,35.880421361
2025-09-23 23:47:35.000,1.0,108.583,1.672,-55.1586,425668796780.3098,-5.5158576,35.88042013
2025-09-23 23:47:35.500,1.0,108.65,1.667,-55.1585,455056805794.6817,-5.515853074,35.880418897
2025-09-23 23:47:36.000,1.0,108.714,1.663,-55.1585,491766777663.9391,-5.515848561,35.880417662
2025-09-23 23:47:36.500,1.0,108.775,1.659,-55.1584,535782994281.8536,-5.51584406,35.880416427
2025-09-23 23:47:37.000,1.0,108.832,1.655,-55.1584,587085980577.1819,-5.515839572,35.880415191
2025-09-23 23:47:37.500,1.0,108.887,1.651,-55.1584,645652170795.1323,-5.515835096,35.880413954
2025-09-23 23:47:38.000,1.0,108.938,1.647,-55.1583,711453519535.8866,-5.515830633,35.880412717
2025-09-23 23:47:38.500,1.0,108.987,1.643,-55.1583,784457057730.3584,-5.515826182,35.88041148
2025-09-23 23:47:39.000,1.0,109.034,1.639,-55.1582,864624393767.5543,-5.515821744,35.880410242
2025-09-23 23:47:39.500,1.0,109.079,1.635,-55.1582,951911160025.4432,-5.515817318,35.880409005
2025-09-23 23:47:40.000,1.0,109.121,1.63,-55.1581,1046266405098.5742,-5.515812905,35.880407768
2025-09-23 23:47:40.500,1.0,109.162,1.626,-55.1581,1147631932061.2026,-5.515808504,35.880406532
2025-09-23 23:47:41.000,1.0,109.201,1.622,-55.158,1255941583154.819,-5.515804116,35.880405297
2025-09-23 23:47:41.500,1.0,109.239,1.617,-55.158,1371120471344.1238,-5.515799741,35.880404062
2025-09-23 23:47:42.000,1.0,109.275,1.612,-55.158,1493084159246.0598,-5.51579538,35.880402829
2025-09-23 23:47:42.500,1.0,109.311,1.608,-55.1579,1621737786002.9185,-5.515791032,35.880401597
2025-09-23 23:47:43.000,1.0,109.345,1.603,-55.1579,1756975142743.1465,-5.515786698,35.880400367
2025-09-23 23:47:43.500,1.0,109.379,1.597,-55.1578,1898677697352.73,-5.515782379,35.880399138
2025-09-23 23:47:44.000,1.0,109.412,1.592,-55.1578,2046713569366.2783,-5.515778074,35.880397911
2025-09-23 23:47:44.500,1.0,109.445,1.587,-55.1577,2200936455880.5654,-5.515773785,35.880396686
2025-09-23 23:47:45.000,1.0,109.477,1.581,-55.1577,2361184509494.708,-5.515769511,35.880395464
2025-09-23 23:47:45.500,1.0,109.51,1.575,-55.1577,2527279169390.7075,-5.515765253,35.880394244
2025-09-23 23:47:46.000,1.0,109.543,1.569,-55.1576,2699023946786.137,-5.515761013,35.880393026
2025-09-23 23:47:46.500,1.0,109.576,1.563,-55.1576,2876203166117.681,-5.515756789,35.880391812
2025-09-23 23:47:47.000,1.0,109.611,1.556,-55.1575,3058580663450.346,-5.515752584,35.8803906
2025-09-23 23:47:47.500,1.0,109.646,1.55,-55.1575,3245898443752.839,-5.515748398,35.880389391
2025-09-23 23:47:48.000,1.0,109.682,1.542,-55.1574,3437875298835.122,-5.515744231,35.880388186
2025-09-23 23:47:48.500,1.0,109.719,1.535,-55.1574,3634205387909.868,-5.515740084,35.880386984
2025-09-23 23:47:49.000,1.0,109.757,1.527,-55.1574,3834556782915.7046,-5.515735958,35.880385786
2025-09-23 23:47:49.500,1.0,109.797,1.52,-55.1573,4038569980927.0825,-5.515731854,35.880384592
2025-09-23 23:47:50.000,1.0,109.839,1.511,-55.1573,4245856386173.545,-5.515727772,35.880383401
2025-09-23 23:47:50.500,1.0,109.882,1.503,-55.1572,4455996764400.406,-5.515723714,35.880382215
